================================================================================
        MFGH Solver Calculation Log
================================================================================
Calculation Time: 2026-01-09 11:35:16

--- Input & Derived Parameters ---
MU                            : 49902.0048124958
HBAR                          : 1.0
N_POINTS_FINAL (Internal)     : 1024
R_MIN_USER_DEFINED            : 2.0
R_MAX_USER_DEFINED            : 400.0
E_MAX (for mapping)           : 0.00022693392727697473
V_min                         : -0.0011346696426874296
De_approx                     : 0.0011346696416370036

--- Key Results ---
Approx. Dissociation Energy (De) : 0.001135
Total Number of Bound States     : 33

--- Full Eigenvalue Spectrum ---
Level (v)       Energy                    State Type
292             0.00004811                Unbound (Continuum)
293             0.00004824                Unbound (Continuum)
294             0.00004883                Unbound (Continuum)
295             0.00004896                Unbound (Continuum)
296             0.00004956                Unbound (Continuum)
297             0.00004970                Unbound (Continuum)
298             0.00005030                Unbound (Continuum)
299             0.00005043                Unbound (Continuum)
300             0.00005104                Unbound (Continuum)
301             0.00005117                Unbound (Continuum)
302             0.00005179                Unbound (Continuum)
303             0.00005192                Unbound (Continuum)
304             0.00005254                Unbound (Continuum)
305             0.00005267                Unbound (Continuum)
306             0.00005329                Unbound (Continuum)
307             0.00005343                Unbound (Continuum)
308             0.00005406                Unbound (Continuum)
309             0.00005420                Unbound (Continuum)
310             0.00005482                Unbound (Continuum)
311             0.00005496                Unbound (Continuum)
312             0.00005560                Unbound (Continuum)
313             0.00005574                Unbound (Continuum)
314             0.00005637                Unbound (Continuum)
315             0.00005652                Unbound (Continuum)
316             0.00005716                Unbound (Continuum)
317             0.00005730                Unbound (Continuum)
318             0.00005795                Unbound (Continuum)
319             0.00005809                Unbound (Continuum)
320             0.00005874                Unbound (Continuum)
321             0.00005889                Unbound (Continuum)
322             0.00005954                Unbound (Continuum)
323             0.00005969                Unbound (Continuum)
324             0.00006034                Unbound (Continuum)
325             0.00006049                Unbound (Continuum)
326             0.00006115                Unbound (Continuum)
327             0.00006130                Unbound (Continuum)
328             0.00006197                Unbound (Continuum)
329             0.00006212                Unbound (Continuum)
330             0.00006279                Unbound (Continuum)
331             0.00006294                Unbound (Continuum)
332             0.00006361                Unbound (Continuum)
333             0.00006377                Unbound (Continuum)
334             0.00006445                Unbound (Continuum)
335             0.00006460                Unbound (Continuum)
336             0.00006528                Unbound (Continuum)
337             0.00006544                Unbound (Continuum)
338             0.00006612                Unbound (Continuum)
339             0.00006628                Unbound (Continuum)
340             0.00006697                Unbound (Continuum)
341             0.00006713                Unbound (Continuum)
342             0.00006782                Unbound (Continuum)
343             0.00006798                Unbound (Continuum)
344             0.00006868                Unbound (Continuum)
345             0.00006884                Unbound (Continuum)
346             0.00006954                Unbound (Continuum)
347             0.00006970                Unbound (Continuum)
348             0.00007041                Unbound (Continuum)
349             0.00007057                Unbound (Continuum)
350             0.00007129                Unbound (Continuum)
351             0.00007145                Unbound (Continuum)
352             0.00007216                Unbound (Continuum)
353             0.00007233                Unbound (Continuum)
354             0.00007305                Unbound (Continuum)
355             0.00007321                Unbound (Continuum)
356             0.00007394                Unbound (Continuum)
357             0.00007410                Unbound (Continuum)
358             0.00007483                Unbound (Continuum)
359             0.00007500                Unbound (Continuum)
360             0.00007573                Unbound (Continuum)
361             0.00007590                Unbound (Continuum)
362             0.00007664                Unbound (Continuum)
363             0.00007681                Unbound (Continuum)
364             0.00007755                Unbound (Continuum)
365             0.00007772                Unbound (Continuum)
366             0.00007846                Unbound (Continuum)
367             0.00007864                Unbound (Continuum)
368             0.00007938                Unbound (Continuum)
369             0.00007956                Unbound (Continuum)
370             0.00008031                Unbound (Continuum)
371             0.00008049                Unbound (Continuum)
372             0.00008124                Unbound (Continuum)
373             0.00008142                Unbound (Continuum)
374             0.00008218                Unbound (Continuum)
375             0.00008236                Unbound (Continuum)
376             0.00008312                Unbound (Continuum)
377             0.00008330                Unbound (Continuum)
378             0.00008407                Unbound (Continuum)
379             0.00008425                Unbound (Continuum)
380             0.00008502                Unbound (Continuum)
381             0.00008520                Unbound (Continuum)
382             0.00008598                Unbound (Continuum)
383             0.00008616                Unbound (Continuum)
384             0.00008694                Unbound (Continuum)
385             0.00008713                Unbound (Continuum)
386             0.00008791                Unbound (Continuum)
387             0.00008810                Unbound (Continuum)
388             0.00008889                Unbound (Continuum)
389             0.00008907                Unbound (Continuum)
390             0.00008987                Unbound (Continuum)
391             0.00009005                Unbound (Continuum)
392             0.00009085                Unbound (Continuum)
393             0.00009104                Unbound (Continuum)
394             0.00009184                Unbound (Continuum)
395             0.00009203                Unbound (Continuum)
396             0.00009284                Unbound (Continuum)
397             0.00009303                Unbound (Continuum)
398             0.00009384                Unbound (Continuum)
399             0.00009403                Unbound (Continuum)
400             0.00009484                Unbound (Continuum)
401             0.00009504                Unbound (Continuum)
402             0.00009585                Unbound (Continuum)
403             0.00009605                Unbound (Continuum)
404             0.00009687                Unbound (Continuum)
405             0.00009706                Unbound (Continuum)
406             0.00009789                Unbound (Continuum)
407             0.00009809                Unbound (Continuum)
408             0.00009892                Unbound (Continuum)
409             0.00009912                Unbound (Continuum)
410             0.00009995                Unbound (Continuum)
411             0.00010015                Unbound (Continuum)
412             0.00010099                Unbound (Continuum)
413             0.00010119                Unbound (Continuum)
414             0.00010203                Unbound (Continuum)
415             0.00010223                Unbound (Continuum)
416             0.00010308                Unbound (Continuum)
417             0.00010328                Unbound (Continuum)
418             0.00010413                Unbound (Continuum)
419             0.00010433                Unbound (Continuum)
420             0.00010519                Unbound (Continuum)
421             0.00010539                Unbound (Continuum)
422             0.00010625                Unbound (Continuum)
423             0.00010646                Unbound (Continuum)
424             0.00010732                Unbound (Continuum)
425             0.00010753                Unbound (Continuum)
426             0.00010840                Unbound (Continuum)
427             0.00010860                Unbound (Continuum)
428             0.00010948                Unbound (Continuum)
429             0.00010969                Unbound (Continuum)
430             0.00011056                Unbound (Continuum)
431             0.00011077                Unbound (Continuum)
432             0.00011165                Unbound (Continuum)
433             0.00011186                Unbound (Continuum)
434             0.00011275                Unbound (Continuum)
435             0.00011296                Unbound (Continuum)
436             0.00011385                Unbound (Continuum)
437             0.00011406                Unbound (Continuum)
438             0.00011495                Unbound (Continuum)
439             0.00011517                Unbound (Continuum)
440             0.00011606                Unbound (Continuum)
441             0.00011628                Unbound (Continuum)
442             0.00011718                Unbound (Continuum)
443             0.00011740                Unbound (Continuum)
444             0.00011830                Unbound (Continuum)
445             0.00011852                Unbound (Continuum)
446             0.00011943                Unbound (Continuum)
447             0.00011965                Unbound (Continuum)
448             0.00012056                Unbound (Continuum)
449             0.00012078                Unbound (Continuum)
450             0.00012170                Unbound (Continuum)
451             0.00012192                Unbound (Continuum)
452             0.00012284                Unbound (Continuum)
453             0.00012306                Unbound (Continuum)
454             0.00012399                Unbound (Continuum)
455             0.00012421                Unbound (Continuum)
456             0.00012514                Unbound (Continuum)
457             0.00012537                Unbound (Continuum)
458             0.00012630                Unbound (Continuum)
459             0.00012653                Unbound (Continuum)
460             0.00012746                Unbound (Continuum)
461             0.00012769                Unbound (Continuum)
462             0.00012863                Unbound (Continuum)
463             0.00012886                Unbound (Continuum)
464             0.00012981                Unbound (Continuum)
465             0.00013004                Unbound (Continuum)
466             0.00013099                Unbound (Continuum)
467             0.00013122                Unbound (Continuum)
468             0.00013217                Unbound (Continuum)
469             0.00013240                Unbound (Continuum)
470             0.00013336                Unbound (Continuum)
471             0.00013360                Unbound (Continuum)
472             0.00013456                Unbound (Continuum)
473             0.00013479                Unbound (Continuum)
474             0.00013576                Unbound (Continuum)
475             0.00013599                Unbound (Continuum)
476             0.00013696                Unbound (Continuum)
477             0.00013720                Unbound (Continuum)
478             0.00013817                Unbound (Continuum)
479             0.00013841                Unbound (Continuum)
480             0.00013939                Unbound (Continuum)
481             0.00013963                Unbound (Continuum)
482             0.00014061                Unbound (Continuum)
483             0.00014085                Unbound (Continuum)
484             0.00014184                Unbound (Continuum)
485             0.00014208                Unbound (Continuum)
486             0.00014307                Unbound (Continuum)
487             0.00014331                Unbound (Continuum)
488             0.00014431                Unbound (Continuum)
489             0.00014455                Unbound (Continuum)
490             0.00014555                Unbound (Continuum)
491             0.00014580                Unbound (Continuum)
492             0.00014680                Unbound (Continuum)
493             0.00014705                Unbound (Continuum)
494             0.00014805                Unbound (Continuum)
495             0.00014830                Unbound (Continuum)
496             0.00014931                Unbound (Continuum)
497             0.00014956                Unbound (Continuum)
498             0.00015057                Unbound (Continuum)
499             0.00015082                Unbound (Continuum)
500             0.00015184                Unbound (Continuum)
501             0.00015209                Unbound (Continuum)
502             0.00015312                Unbound (Continuum)
503             0.00015337                Unbound (Continuum)
504             0.00015440                Unbound (Continuum)
505             0.00015465                Unbound (Continuum)
506             0.00015568                Unbound (Continuum)
507             0.00015594                Unbound (Continuum)
508             0.00015697                Unbound (Continuum)
509             0.00015723                Unbound (Continuum)
510             0.00015827                Unbound (Continuum)
511             0.00015852                Unbound (Continuum)
512             0.00015957                Unbound (Continuum)
513             0.00015982                Unbound (Continuum)
514             0.00016087                Unbound (Continuum)
515             0.00016113                Unbound (Continuum)
516             0.00016218                Unbound (Continuum)
517             0.00016244                Unbound (Continuum)
518             0.00016350                Unbound (Continuum)
519             0.00016376                Unbound (Continuum)
520             0.00016482                Unbound (Continuum)
521             0.00016508                Unbound (Continuum)
522             0.00016615                Unbound (Continuum)
523             0.00016641                Unbound (Continuum)
524             0.00016748                Unbound (Continuum)
525             0.00016774                Unbound (Continuum)
526             0.00016881                Unbound (Continuum)
527             0.00016908                Unbound (Continuum)
528             0.00017016                Unbound (Continuum)
529             0.00017042                Unbound (Continuum)
530             0.00017150                Unbound (Continuum)
531             0.00017177                Unbound (Continuum)
532             0.00017286                Unbound (Continuum)
533             0.00017313                Unbound (Continuum)
534             0.00017422                Unbound (Continuum)
535             0.00017448                Unbound (Continuum)
536             0.00017558                Unbound (Continuum)
537             0.00017585                Unbound (Continuum)
538             0.00017695                Unbound (Continuum)
539             0.00017722                Unbound (Continuum)
540             0.00017832                Unbound (Continuum)
541             0.00017859                Unbound (Continuum)
542             0.00017970                Unbound (Continuum)
543             0.00017997                Unbound (Continuum)
544             0.00018108                Unbound (Continuum)
545             0.00018136                Unbound (Continuum)
546             0.00018247                Unbound (Continuum)
547             0.00018275                Unbound (Continuum)
548             0.00018387                Unbound (Continuum)
549             0.00018414                Unbound (Continuum)
550             0.00018527                Unbound (Continuum)
551             0.00018555                Unbound (Continuum)
552             0.00018667                Unbound (Continuum)
553             0.00018695                Unbound (Continuum)
554             0.00018808                Unbound (Continuum)
555             0.00018836                Unbound (Continuum)
556             0.00018950                Unbound (Continuum)
557             0.00018978                Unbound (Continuum)
558             0.00019092                Unbound (Continuum)
559             0.00019120                Unbound (Continuum)
560             0.00019235                Unbound (Continuum)
561             0.00019263                Unbound (Continuum)
562             0.00019378                Unbound (Continuum)
563             0.00019406                Unbound (Continuum)
564             0.00019521                Unbound (Continuum)
565             0.00019550                Unbound (Continuum)
566             0.00019665                Unbound (Continuum)
567             0.00019694                Unbound (Continuum)
568             0.00019810                Unbound (Continuum)
569             0.00019839                Unbound (Continuum)
570             0.00019955                Unbound (Continuum)
571             0.00019984                Unbound (Continuum)
572             0.00020101                Unbound (Continuum)
573             0.00020130                Unbound (Continuum)
574             0.00020247                Unbound (Continuum)
575             0.00020277                Unbound (Continuum)
576             0.00020394                Unbound (Continuum)
577             0.00020423                Unbound (Continuum)
578             0.00020541                Unbound (Continuum)
579             0.00020571                Unbound (Continuum)
580             0.00020689                Unbound (Continuum)
581             0.00020719                Unbound (Continuum)
582             0.00020838                Unbound (Continuum)
583             0.00020867                Unbound (Continuum)
584             0.00020987                Unbound (Continuum)
585             0.00021016                Unbound (Continuum)
586             0.00021136                Unbound (Continuum)
587             0.00021166                Unbound (Continuum)
588             0.00021286                Unbound (Continuum)
589             0.00021316                Unbound (Continuum)
590             0.00021436                Unbound (Continuum)
591             0.00021466                Unbound (Continuum)
592             0.00021587                Unbound (Continuum)
593             0.00021617                Unbound (Continuum)
594             0.00021739                Unbound (Continuum)
595             0.00021769                Unbound (Continuum)
596             0.00021891                Unbound (Continuum)
597             0.00021921                Unbound (Continuum)
598             0.00022043                Unbound (Continuum)
599             0.00022074                Unbound (Continuum)
600             0.00022196                Unbound (Continuum)
601             0.00022227                Unbound (Continuum)
602             0.00022350                Unbound (Continuum)
603             0.00022381                Unbound (Continuum)
604             0.00022504                Unbound (Continuum)
605             0.00022535                Unbound (Continuum)
606             0.00022659                Unbound (Continuum)
607             0.00022689                Unbound (Continuum)
608             0.00022814                Unbound (Continuum)
609             0.00022845                Unbound (Continuum)
610             0.00022970                Unbound (Continuum)
611             0.00023001                Unbound (Continuum)
612             0.00023126                Unbound (Continuum)
613             0.00023157                Unbound (Continuum)
614             0.00023282                Unbound (Continuum)
615             0.00023314                Unbound (Continuum)
616             0.00023440                Unbound (Continuum)
617             0.00023471                Unbound (Continuum)
618             0.00023597                Unbound (Continuum)
619             0.00023629                Unbound (Continuum)
620             0.00023756                Unbound (Continuum)
621             0.00023787                Unbound (Continuum)
622             0.00023914                Unbound (Continuum)
623             0.00023946                Unbound (Continuum)
624             0.00024074                Unbound (Continuum)
625             0.00024106                Unbound (Continuum)
626             0.00024234                Unbound (Continuum)
627             0.00024265                Unbound (Continuum)
628             0.00024394                Unbound (Continuum)
629             0.00024426                Unbound (Continuum)
630             0.00024555                Unbound (Continuum)
631             0.00024587                Unbound (Continuum)
632             0.00024716                Unbound (Continuum)
633             0.00024748                Unbound (Continuum)
634             0.00024878                Unbound (Continuum)
635             0.00024910                Unbound (Continuum)
636             0.00025041                Unbound (Continuum)
637             0.00025073                Unbound (Continuum)
638             0.00025204                Unbound (Continuum)
639             0.00025236                Unbound (Continuum)
